latitude,longitude,address,property_type,rooms,home_size,lot_size,year_built,parcel_number,realtyID,county,subdivision,census,tract,lot,zoning,date,sale_price,estimated_value,sex_offenders,crime_index,enviornmental_hazards,natural_disasters,school quality,url
33.974622,-118.133679,6224 Nye St,Condominium,"3 beds, 3 baths","1,357 sqft",0.51 acres,1988,6357012043,1111054477,Los Angeles,45351,1,532304,1,"
Zoning:

CMR3
		",9/28/20,"$469,000 ","$439,000 ",7 Found,High,15 Found,1 Found,Average,https://www.realtytrac.com/property/ca/commerce/90040/6224-nye-st/54129244/
34.156562,-118.396891,4723 Laurel Canyon Blvd,Restaurant,,"2,250 sqft","9,799 sqft",1959,2356037034,1111055289,Los Angeles,7360,1,143400,10,"
Zoning:

LAC2
		",9/28/20,"$1,910,000 ",,5 Found,,6 Found,1 Found,Excellent,https://www.realtytrac.com/property/ca/valley-village/91607/4723-laurel-canyon-blvd/154414596/
34.677777,-118.451165,18118 Elizabeth Lake Rd,Apartment house (5+ units),"7 beds, 6 baths","1,454 sqft","13,635 sqft",1948,3242015023,1111055911,Los Angeles,,2,920102,4,"
Zoning:

LCC4*
		",9/28/20,"$325,000 ",,0 Found,,2 Found,1 Found,,https://www.realtytrac.com/property/ca/lake-hughes/93532/18118-elizabeth-lake-rd/251911403/
34.07296,-118.066898,9259 Ramona Blvd,Single Family Residence,"3 beds, 2 baths","1,682 sqft","7,000 sqft",1978,8594027016,1111055994,Los Angeles,ROSEMEAD,2,432901,6,"
Zoning:

RMPOD*
		",9/28/20,"$738,000 ","$752,000 ",3 Found,Moderate,11 Found,1 Found,Excellent,https://www.realtytrac.com/property/ca/rosemead/91770/9259-ramona-blvd/154986110/
33.777716,-118.154913,825 Obispo Ave,"Triplex (3 units, any combination)","4 beds, 3 baths","1,958 sqft","6,754 sqft",1938,7258013016,1111056010,Los Angeles,1,2,576904,18,"
Zoning:

LBR2N
		",9/28/20,"$1,185,000 ","$989,000 ",11 Found,Slightly High,8 Found,1 Found,Average,https://www.realtytrac.com/property/ca/long-beach/90804/825-obispo-ave/44027788/
33.886322,-118.251317,2201 W Reeve St,Single Family Residence,"3 beds, 1 bath","1,180 sqft","6,216 sqft",1950,6140031021,1111056659,Los Angeles,15981,7,543100,311,"
Zoning:

CORL*
		",9/28/20,"$560,000 ","$537,000 ",20 Found,High,14 Found,1 Found,Poor,https://www.realtytrac.com/property/ca/compton/90220/2201-w-reeve-st/140044396/
34.191476,-118.371513,6642 Ensign Ave,Single Family Residence,"3 beds, 2 baths","1,296 sqft","5,843 sqft",1944,2319019018,1111056683,Los Angeles,13168,1,123206,5,"
Zoning:

LAR1
		",9/28/20,"$715,000 ","$699,000 ",15 Found,Low,14 Found,1 Found,Average,https://www.realtytrac.com/property/ca/north-hollywood/91606/6642-ensign-ave/13931881/
34.155054,-118.239413,622 Naranja Dr,"Quadplex (4 Units, Any Combination)","8 beds, 8 baths","4,764 sqft","6,395 sqft",1930,5646016007,1111057331,Los Angeles,9258,2,301900,3,"
Zoning:

GLR4YY
		",9/28/20,"$1,475,000 ","$1,474,000 ",1 Found,Low,4 Found,1 Found,Above Average,https://www.realtytrac.com/property/ca/glendale/91206/622-naranja-dr/143877681/
34.229076,-118.601288,8726 Owensmouth Ave,Apartment house (5+ units),"8 beds, 8 baths","5,568 sqft","9,571 sqft",1962,2779041005,1111057978,Los Angeles,25316,3,113233,5,"
Zoning:

LAR3
		",9/28/20,"$1,480,000 ","$779,000 ",2 Found,,6 Found,1 Found,Average,https://www.realtytrac.com/property/ca/canoga-park/91304/8726-owensmouth-ave/154455515/
34.6867,-118.2375,Vac/oldfield St/vic 63rd Stw,Residential - Vacant Land,,,"6,648 sqft",,3203064032,1111059374,Los Angeles,,4,920328,78,"
Zoning:

LRR1
		",9/28/20,"$442,000 ",,2 Found,Moderate,2 Found,2 Found,Average,https://www.realtytrac.com/property/ca/lancaster/93536/vacoldfield-stvic-63rd-stw/251911299/
